time,cin,temp,vbat,humidity,vout,vin,cout
03/24/16-11:59:42,-6,90.50,0,80,5,11.6,3.2
03/24/16-12:00:42,-6,89.62,0,80,5,11.6,3.2
03/24/16-12:01:42,-6,87.29,0,80,5,11.6,3.2
03/24/16-12:02:42,-6,91.69,0,80,5,11.6,3.2
03/24/16-12:03:42,-6,88.74,0,80,5,11.6,3.2
03/24/16-12:06:08,-6.00,90.50,0,80,5,11.6,3.2
03/24/16-12:08:32,15.00,79.62,0,80,5,11.6,3.2
03/24/16-12:09:32,-0.20,86.13,0,80,5,11.6,3.2
03/24/16-12:10:32,0.00,72.17,0,80,5,11.6,3.2
03/24/16-12:11:32,0.10,71.62,0,80,5,11.6,3.2
03/24/16-12:12:32,0.90,71.62,0,80,5,11.6,3.2
03/24/16-12:13:32,0.90,71.62,0,80,5,11.6,3.2
03/24/16-12:14:32,0.00,71.62,0,80,5,11.6,3.2
03/24/16-12:15:32,0.00,71.62,0,80,5,11.6,3.2
03/24/16-12:16:32,0.00,72.72,0,80,5,11.6,3.2
03/24/16-12:17:32,1.00,72.44,0,80,5,11.6,3.2
03/24/16-12:18:32,0.00,72.72,0,80,5,11.6,3.2
03/24/16-12:20:25,1.00,71.90,7,80,5,11.6,3.2
03/24/16-12:22:06,0.50,72.99,7,80,5,11.6,3.2
03/24/16-12:23:06,0.97,71.90,7,80,5,11.6,3.2
03/24/16-12:24:06,-0.09,72.17,0,80,5,11.6,3.2
03/24/16-12:25:06,-0.19,72.99,0,80,5,11.6,3.2
03/24/16-12:27:30,0.94,71.90,4,80,5,11.6,3.2
03/24/16-12:28:30,0.66,72.99,4,80,5,11.6,3.2
03/24/16-12:29:30,0.08,71.90,4,80,5,11.6,3.2
03/24/16-12:31:14,-0.84,72.99,4.31,80,5,11.6,3.2
03/24/16-12:32:14,-0.65,73.26,4.32,80,5,11.6,3.2
03/24/16-12:33:14,-0.59,73.54,3.23,80,5,11.6,3.2
03/24/16-12:34:14,-1.64,73.81,7.55,80,5,11.6,3.2
03/24/16-12:35:14,-0.86,71.62,7.55,80,5,11.6,3.2
03/24/16-12:36:14,-0.70,70.26,7.55,80,5,11.6,3.2
03/24/16-12:37:14,-1.76,71.35,7.55,80,5,11.6,3.2
03/24/16-12:38:14,-1.90,70.81,7.55,80,5,11.6,3.2
03/24/16-12:39:14,-1.36,72.44,7.55,80,5,11.6,3.2
03/24/16-12:40:14,-1.54,71.08,7.55,80,5,11.6,3.2
03/24/16-12:41:14,-0.39,71.62,0.00,80,5,11.6,3.2
03/24/16-12:42:14,-6.94,71.35,0.00,80,5,11.6,3.2
03/24/16-12:43:14,-6.98,74.08,0.00,80,5,11.6,3.2
03/24/16-12:44:14,13.87,74.36,0.00,80,5,11.6,3.2
03/24/16-12:45:14,-6.51,72.72,0.00,80,5,11.6,3.2
03/24/16-12:46:14,-6.51,72.72,0.00,80,5,11.6,3.2
03/24/16-12:47:14,-6.52,73.54,0.00,80,5,11.6,3.2
03/24/16-12:48:14,-6.52,73.26,0.00,80,5,11.6,3.2
03/24/16-12:49:14,-6.51,74.08,0.00,80,5,11.6,3.2
03/24/16-12:50:14,-6.55,71.08,0.00,80,5,11.6,3.2
03/24/16-12:51:14,-6.51,72.17,0.00,80,5,11.6,3.2
03/24/16-12:52:14,-6.51,71.90,0.00,80,5,11.6,3.2
03/24/16-12:53:14,-6.55,72.99,0.00,80,5,11.6,3.2
03/24/16-12:54:14,124,70,30,7,5,11.8,3.2
